InvoiceId|CustomerId|Country|TrackName|GenreId
1|2|Germany|Balls to the Wall|1
1|2|Germany|Restless and Wild|1
2|4|Norway|Put The Finger On You|1
2|4|Norway|Inject The Venom|1
2|4|Norway|Evil Walks|1
2|4|Norway|Breaking The Rules|1
3|8|Belgium|Dog Eat Dog|1
3|8|Belgium|Overdose|1
3|8|Belgium|Love In An Elevator|1
3|8|Belgium|Janie's Got A Gun|1
3|8|Belgium|Deuces Are Wild|1
3|8|Belgium|Angel|1
4|14|Canada|Right Through You|1
4|14|Canada|Not The Doctor|1
4|14|Canada|Bleed The Freak|1
4|14|Canada|Confusion|1
4|14|Canada|Por Causa De Você|2
4|14|Canada|Angela|2
4|14|Canada|Master Of Puppets|3
4|14|Canada|Welcome Home (Sanitarium)|3
4|14|Canada|Set It Off|1
5|23|USA|Your Time Has Come|4
5|23|USA|Dandelion|4
5|23|USA|Rock 'N' Roll Music|5
5|23|USA|Moon germs|2
5|23|USA|Super Terrorizer|3
5|23|USA|Heart Of Gold|3
5|23|USA|Evil Woman|3
5|23|USA|Cornucopia|3
5|23|USA|Bowels Of The Devil|4
5|23|USA|Body Count Anthem|4
5|23|USA|Jerusalem|3
5|23|USA|When My Left Eye Jumps|6
5|23|USA|Meditação|7
5|23|USA|Esse Cara|7
6|37|Germany|Bye, Bye Brasil|7
7|38|Germany|Atras Da Porta|7
7|38|Germany|Tatuagem|7
8|40|France|Morena De Angola|7
8|40|France|A Banda|7
9|42|France|Com Açúcar E Com Afeto|7
9|42|France|Meu Caro Amigo|7
9|42|France|Trocando Em Miúdos|7
9|42|France|Gota D'água|7
10|46|Ireland|Etnia|7
10|46|Ireland|Samba Do Lado|7
10|46|Ireland|Sobremesa|7
10|46|Ireland|Sangue De Bairro|7
10|46|Ireland|Amor De Muito|7
10|46|Ireland|Maracatu Atômico [Trip Hop]|7
11|52|United Kingdom|Samba Makossa|7
11|52|United Kingdom|Lixo Do Mangue|7
11|52|United Kingdom|Firmamento|8
11|52|United Kingdom|Já Foi|8
11|52|United Kingdom|A Cor Do Sol|8
11|52|United Kingdom|Firmamento|8
11|52|United Kingdom|Sábado A Noite|8
11|52|United Kingdom|Linha Do Equador|7
11|52|United Kingdom|Livre Pra Viver|7
12|2|Germany|Lavadeira|9
12|2|Germany|Dazed and Confused|1
12|2|Germany|You Shook Me(2)|1
12|2|Germany|Man With The Woman Head|1
12|2|Germany|Leandro De Itaquera 2001|10
12|2|Germany|Vôo Sobre o Horizonte|7
12|2|Germany|All Star|7
12|2|Germany|Tanto Tempo|7
12|2|Germany|Bumbo Da Mangueira|7
12|2|Germany|Die Die My Darling|3
12|2|Germany|Radio GA GA|1
12|2|Germany|I'm Going Slightly Mad|1
12|2|Germany|Sure Know Something|1
12|2|Germany|God Of Thunder|1
13|16|USA|Valentino's|2
14|17|USA|Believe|2
14|17|USA|As We Sleep|2
15|19|USA|J Squared|2
15|19|USA|Maria|4
16|21|USA|Longview|4
16|21|USA|Basket Case|4
16|21|USA|She|4
16|21|USA|Geek Stink Breath|4
17|25|USA|Stuck With Me|4
17|25|USA|Nice Guys Finish Last|4
17|25|USA|Macy's Day Parade|4
17|25|USA|Don't You Cry|1
17|25|USA|Living On Love|1
17|25|USA|Wherever You May Go|1
18|31|Canada|Diga Lá, Coração|7
18|31|Canada|Comportamento Geral|7
18|31|Canada|Podres Poderes|7
18|31|Canada|Queixa|7
18|31|Canada|Ando Meio Desligado|4
18|31|Canada|Vida De Cachorro|4
18|31|Canada|Meu Refrigerador Não Funciona|4
18|31|Canada|Smoke On The Water|1
18|31|Canada|Trampled Under Foot|1
19|40|France|União Da Ilha|7
19|40|France|Put Your Lights On|1
19|40|France|Primavera|1
19|40|France|Seis Da Tarde|7
19|40|France|Compulsion|2
19|40|France|The Pan Piper|2
19|40|France|Jean Pierre (Live)|2
19|40|France|Drum Boogie|2
19|40|France|Lemon Drop|2
19|40|France|Showcase|2
19|40|France|Como É Duro Trabalhar|11
19|40|France|Pela Luz dos Olhos Teus (Miúcha e Tom Jobim)|7
19|40|France|As Rosas Não Falam (Beth Carvalho)|7
19|40|France|Green River|1
20|54|United Kingdom|Someday Never Comes|1
21|55|Australia|Walking On The Water|1
21|55|Australia|Suzie-Q, Pt. 2|1
22|57|Chile|Good Golly Miss Molly|1
22|57|Chile|Wrote A Song For Everyone|1
23|59|India|Cotton Fields|1
23|59|India|Don't Look Now|1
23|59|India|Before You Accuse Me|1
23|59|India|Pagan Baby|1
24|4|Norway|Born To Move|1
24|4|Norway|Brasil|7
24|4|Norway|Coroné Antonio Bento|7
24|4|Norway|Música Urbana 2|7
24|4|Norway|Woman Of The World (Ao Vivo)|7
24|4|Norway|Smells Like Teen Spirit (Ao Vivo)|7
25|10|Brazil|Admirável Gado Novo|7
25|10|Brazil|Mis Penas Lloraba Yo (Ao Vivo) Soy Gitano (Tangos)|7
25|10|Brazil|Drifter|1
25|10|Brazil|Child In Time|1
25|10|Brazil|No No No|1
25|10|Brazil|Knocking At Your Back Door|1
25|10|Brazil|The Unwritten Law|1
25|10|Brazil|Maybe I'm A Leo|1
25|10|Brazil|Vavoom : Ted The Mechanic|1
26|19|USA|Hey Cisco|1
26|19|USA|Fortuneteller|1
26|19|USA|High Ball Shooter|1
26|19|USA|A Twist In The Tail|1
26|19|USA|Animal|1
26|19|USA|Hysteria|1
26|19|USA|Baltimore, DC|2
26|19|USA|Esquinas|7
26|19|USA|Açai|7
26|19|USA|Um Amor Puro|7
26|19|USA|Fascinação|7
26|19|USA|Sunshine Of Your Love|6
26|19|USA|Lay Down Sally|6
26|19|USA|Tears In Heaven|6
27|33|Canada|Naked In Front Of The Computer|4
28|34|Portugal|Helpless|4
28|34|Portugal|Mouth To Mouth|4
29|36|Germany|She Loves Me Not|4
29|36|Germany|Paths Of Glory|4
30|38|Germany|Pristina|4
30|38|Germany|Caffeine|4
30|38|Germany|RV|4
30|38|Germany|Everything's Ruined|4
31|42|France|A Small Victory|4
31|42|France|Easy|4
31|42|France|The Gentle Art Of Making Enemies|1
31|42|France|Ugly In The Morning|1
31|42|France|What A Day|1
31|42|France|From Out Of Nowhere|4
32|48|Netherlands|Underwater Love|4
